,total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,total_stake_borrow,total_stake_collateral,total_external_stake_lending,weighted_crypto_rate,weighted_stablecoin_rate,weighted_stake_rate,date
245,532110610.5396543,782788600.5142468,236022432.3983299,547828007.9161053,112825023.3485715,534323720.90539646,20294057.19840796,1307842789.0997424,36555085.133826174,0.015100104434164104,0.04016457876810016,0.0004167142514575924,2023-10-04
246,531256340.50462383,780677018.659835,236455880.590728,553622655.9548814,114618374.81999385,531929533.0902152,20390873.45599482,1320975148.9438362,36361343.98491167,0.015249105626561467,0.04134422818320443,0.00040340333634726003,2023-10-05
247,541426274.6035035,787351817.311057,230947029.51269352,556898665.4478877,114550374.76545818,535672515.01807064,20285547.47477865,1335405118.1141398,35723509.54743784,0.01567376504486565,0.0372527119163531,0.00037248615800386005,2023-10-06
248,543486555.5149575,817004893.5486281,230476281.9140873,562538606.8993503,112364934.46108322,544725917.9061614,21050636.027051594,1337128234.363179,36437589.08043697,0.014521555545514476,0.03574169765069389,0.0004179335201512309,2023-10-07
249,548577688.7864288,810726019.2773632,229104657.45350078,549368114.2404311,113905690.49367529,537837567.1512378,21070024.490982093,1295649146.7750504,34736113.97842222,0.015640595984120556,0.028383852774876716,0.0004387175920431726,2023-10-08
250,551545544.7689894,807519631.0656132,222640385.8418133,559517436.0649625,118903761.10293473,533069967.8361956,21177588.738872413,1297984364.7343388,33790570.42958241,0.015595083689133458,0.03778767176490463,0.00044418994618761773,2023-10-09
251,544485054.2953502,830535228.8991661,193272556.7871322,535967821.4993513,115885262.47860377,528752684.054435,18362822.381479684,1287087732.1729643,37642178.27885124,0.01769971736402497,0.028548911332517104,0.0003932226833392985,2023-10-10
252,534847817.4243092,800216326.8880622,203734345.35100684,541012592.1913457,116044163.25807187,527859908.50882554,18377994.20477846,1278712921.5795593,34427986.14176429,0.018226572791744177,0.04499918401028949,0.0004250349702769169,2023-10-11
253,544979943.7472057,801202435.7497694,205139690.1241281,545669436.3668809,114847381.572844,525722951.6106316,18376735.501915794,1300212209.1107821,35733706.375588685,0.019892209883715345,0.03376798046940468,0.00040975225745092407,2023-10-12
254,510743752.3963164,800472630.1707903,205592933.70274967,544703624.5292842,114447605.6612107,525767552.5784997,18347434.79364373,1296253240.755325,35768842.307446726,0.01695043892573121,0.028964940744744795,0.00041885223082882415,2023-10-13
255,511343112.10634804,799295821.4298567,205628036.53891703,551780453.9113252,115153752.59300442,530915914.88508594,18338059.663769152,1298696688.9340713,35729371.32872825,0.016933393688807256,0.034090824965585166,0.0004037318963038143,2023-10-14
256,512297312.86441004,801027244.0506221,204807842.1542327,552353208.751977,114466801.97523126,531849515.4810488,18334897.723006155,1300234034.9412308,34746622.81463538,0.016982781546565195,0.04250921846673977,0.00041124053978927063,2023-10-15
257,511390445.16994596,809057693.1086422,190033591.26773128,572105118.6237521,122741986.9993319,524554208.7599429,18439743.602417435,1352761825.5143735,42786842.62898278,0.0167525572165597,0.11559289008785816,0.0003282020923796643,2023-10-16
258,542218340.4460789,824739066.2513374,189144957.28351393,572399117.8308959,114926771.90519899,545515797.6809763,18838980.876852874,1403902042.8077471,37176923.6048679,0.018499781196189335,0.05702281260031583,0.00042698870250545317,2023-10-17
259,551861872.9450912,806950657.5367002,210394263.61474037,570610946.48599,113166364.75590613,555675653.3006771,18826307.794957407,1415586057.197214,37034061.24494819,0.01937191016626304,0.040947819743149975,0.0004066631745713391,2023-10-18
260,541546499.44999,810832834.4728514,233264771.19022262,572341503.817604,115812752.05304079,553324120.5081618,18623169.246832743,1404254033.3421054,35751833.79024103,0.01716595399197248,0.03937777799629012,0.00041411390004123,2023-10-19
261,549942423.5925076,824130782.2737948,196497234.9083343,578759269.4293131,116420271.99819507,556079674.9538505,23566599.476470713,1407298153.9254372,35997758.30205124,0.01917733194920782,0.04462075363570915,0.0005014390125273994,2023-10-20
262,545453375.9216291,846556310.3248222,219902092.75270873,581238230.1349589,113598865.70282687,574479468.7695695,23138446.757612977,1399481117.028134,36864950.98828144,0.016608035108654672,0.034771354108139696,0.00046772569437923185,2023-10-21
263,565019565.7419332,855460243.0950133,218873841.50603232,592920002.5080227,113849601.66312017,580868234.6720723,23136703.1154366,1429892515.2462866,36827101.41796504,0.016750403432385663,0.031901766054373545,0.0004742691983321182,2023-10-22
264,575424035.4395157,869117411.5829765,218035788.95489806,593542152.8702775,113695500.273101,567241918.460369,26215274.33144036,1466536100.6769245,39821699.644318305,0.016165605384514267,0.07558210175842128,0.00038611570402816863,2023-10-23
265,586799850.2776182,872402992.614286,203315716.7935454,597767509.0581802,108344602.32554226,581819360.7168558,24703711.248332277,1490563354.4139395,40019376.20537747,0.017190405205833908,0.06266007151221682,0.0003596678251600199,2023-10-24
266,586627973.9637561,885717216.3210897,203260890.11202392,599350894.6301208,105587365.25912187,596410631.311578,24496258.00973219,1491085713.5874946,40420347.87090451,0.01701590412394925,0.03722307793909093,0.000453275193135071,2023-10-25
267,578619270.5121033,885891645.5273787,203724389.73486432,609375696.7503326,113915406.31943502,590012105.2606465,25489683.632160097,1486512691.449861,40519518.75430625,0.016462398713474685,0.06314824121560911,0.000594243069700165,2023-10-26
268,573692175.5573158,905133187.6553357,205585031.2633396,619444574.2737675,110318894.75310148,600487918.0736202,22100695.976320483,1482591312.4007215,40454972.20222815,0.015468880376309847,0.07380193479278647,0.0005645841572524887,2023-10-27
269,570082338.0426427,907944487.7421677,210037466.2971338,621776172.8052299,109766747.31901138,610819926.6189015,22065104.585737526,1476015748.8723536,40532507.21833186,0.015446056729563985,0.04672273513265604,0.0005668428030064267,2023-10-28
270,573838811.2019589,918851374.5960754,211202244.8076636,619939621.9787197,105839800.34194168,612996901.5178161,22033979.737735834,1485567987.6074321,40152814.14475607,0.01553184920672201,0.04696225055780758,0.0005410233732929683,2023-10-29
271,565633705.0591494,924177464.4813077,191720670.83295977,613057568.5196304,103485014.40457329,607796306.3852531,21608633.279174786,1472747708.479863,40701004.07697245,0.015530824307789917,0.046177146131745145,0.0005535667311475685,2023-10-30
272,546796120.514167,948586246.0930045,194566502.59315827,625887073.9197489,119783991.04214059,606326699.2362049,21713159.755213987,1470232319.6411521,40483792.96321603,0.014293220477548314,0.043106261102715794,0.0005581237037223364,2023-10-31
273,552702353.8258445,932805777.4723542,206085671.0795279,623364241.5178231,135453002.93592128,583113352.6155627,22434669.24525521,1486478120.6130462,42235516.61968414,0.013862258823903857,0.06495711567723131,0.0005052193275620378,2023-11-01
274,559792530.0581607,946576432.7781293,197930338.46815726,625018867.0555223,129814477.60640404,587965883.4232789,36711445.24711102,1506015665.8596382,54080963.128008835,0.013780507281111961,0.07164534539570606,0.001733275057188623,2023-11-02
275,559257984.9123884,954290391.0659381,198103069.90075734,624707392.3260893,127923809.4106333,595854470.6597933,38228660.36134632,1527740385.1934931,56429250.79092354,0.013647716455118605,0.055267097611869244,0.0021748170650211203,2023-11-03
276,560988522.5981895,968656864.6569552,249457785.6200192,625270154.9241235,125976771.41176273,595174728.7453573,38783461.620465904,1530495437.179764,47694208.38591792,0.012428743164418308,0.06739130735674642,0.002312311229348652,2023-11-04
277,612506686.0908583,950456012.977096,243984231.11536053,625555013.354239,125370955.07973628,591927973.6660508,42140474.29377438,1528323078.3787515,40696321.78660001,0.015486337340296473,0.08073492036153138,0.0030161141349329384,2023-11-05
278,614550691.6857839,942924215.7339025,201912250.02601883,617969764.8439953,124966645.69878556,600600726.5774131,42603498.72674896,1531875643.8416336,42044809.31889612,0.016372048076877144,0.039000143536498215,0.003246315856144248,2023-11-06
279,627802372.9470035,966706935.7798886,249249445.19815594,626345093.4069065,126210488.75581749,598695057.5531822,43226437.527878016,1545065589.4563873,42250311.019639194,0.015541561323793614,0.052344686724128356,0.0032329045289708307,2023-11-07
280,627606634.7491231,978978316.1439133,246438218.84726077,630691271.7212659,127866904.9539064,601223496.9833962,44355337.91817636,1555889910.7256305,42242175.68365536,0.015925063366653176,0.05268273089511995,0.00356173142558302,2023-11-08
281,604072266.5563302,982484209.3923496,226995402.80018416,641560467.951316,134954191.13620344,601384825.5572399,44221427.76946364,1576878404.0198674,41527488.632145785,0.013040744250705198,0.07267464008416581,0.0015626760716592981,2023-11-09
282,599995927.0869555,984789564.4382966,196044148.19776154,637802856.3757632,141725809.60784444,605324035.3524482,40559568.76144815,1574785211.357471,40607582.83230788,0.014243902640675987,0.02914431430987101,0.0011802165490299537,2023-11-10
283,602843209.5404651,1000007656.8470101,197655415.50882855,637910836.8996778,130398572.97880773,608512944.0024754,38455369.74058138,1570812810.920365,40299326.18425993,0.0141362665795724,0.049389287050348826,0.0011824612000450156,2023-11-11
