total_crypto_borrow,total_crypto_collateral,total_external_crypto_lending,total_stablecoin_borrow,total_stablecoin_collateral,total_external_stablecoin_lending,weighted_crypto_rate,weighted_stablecoin_rate,date,day
595872790.9396951,2404419362.2035127,251355058.95241943,619939621.9787197,105839800.34194168,612996901.5178161,0.0131371337549036,0.0469622505578075,2023-10-29,270
587242338.3383244,2396925172.961165,232421674.90993217,613057568.5196304,103485014.40457328,607796306.3852531,0.0129080507565494,0.0461771461317451,2023-10-30,271
568509280.2693802,2418818565.734153,235050295.5563738,625887073.9197489,119783991.0421406,606326699.2362049,0.0119275616180046,0.0431062611027157,2023-10-31,272
575137023.0711008,2419283898.085399,248321187.6992123,623364241.5178231,135453002.93592128,583113352.6155627,0.01159043712047,0.0649571156772313,2023-11-01,273
596503975.3052722,2452592098.6377625,252011301.59616676,625018867.0555223,129814477.60640404,587965883.4232789,0.0111952029016258,0.071645345395706,2023-11-02,274
597486645.2737346,2482030776.2594337,254532320.6916814,624707392.3260893,127923809.4106333,595854470.6597933,0.0111042001141543,0.0552670976118692,2023-11-03,275
599771984.2186549,2499152301.8367124,297151994.0059372,625270154.9241235,125976771.41176271,595174728.7453573,0.0108050111263841,0.0673913073567464,2023-11-04,276
654647160.3846333,2478779091.3558526,284680552.90196043,625555013.354239,125370955.07973628,591927973.6660508,0.0137036647581936,0.0807349203615313,2023-11-05,277
657154190.4125335,2474799859.575538,243957059.34491515,617969764.8439953,124966645.69878556,600600726.5774131,0.0141098921471675,0.0390001435364982,2023-11-06,278
671028810.4748814,2511772525.2362804,291499756.2177955,626345093.4069065,126210488.75581747,598695057.5531822,0.0137575304053364,0.0523446867241283,2023-11-07,279
671961972.6672994,2534868226.869544,288680394.5309161,630691271.7212659,127866904.9539064,601223496.9833962,0.0141159552672318,0.0526827308951199,2023-11-08,280
648293694.3257946,2559362613.4122176,268522891.4323303,641560467.951316,134954191.13620344,601384825.5572399,0.011265642905409,0.0726746400841658,2023-11-09,281
640555495.8484044,2559574775.7957754,236651731.03006867,637802856.3757632,141725809.60784444,605324035.3524482,0.012002276463877,0.029144314309871,2023-11-10,282
641298579.2810452,2570820467.767369,237954741.69308877,637910836.8996778,130398572.97880772,608512944.0024754,0.0119424476012126,0.0493892870503488,2023-11-11,283
629041245.4009856,2563123613.988994,293796868.2753341,642931977.3750325,128564238.27473496,620901949.6739186,0.0110148529417103,0.0418442786904872,2023-11-12,284
626901665.8918597,2599326777.8461494,246679978.03981447,656306251.9417086,135326677.62129432,613977196.9169652,0.0106426780747606,0.0899261383634017,2023-11-13,285
623197620.9898174,2607219325.685933,256399550.74599612,664302601.7741206,132709919.78088224,626333352.2804291,0.0106044702638109,0.089587310420652,2023-11-14,286
